group,seam,n_crops,n_overlap,factor,median_abs_rel,p90_abs_rel,mean_signed_rel
g6,p11,4,27,0.8652850763364323,0.010287432379564785,0.023545263311180807,0.0003452943690024842
g6,p12,4,27,1.0419422409219556,0.012744932223915869,0.02654693476963547,1.4264320567275684e-05
g6,p13,4,27,2.0282499139369086,0.02115874935370514,0.028626543243248134,0.0009876989841754284
g6,p14,4,28,2.028032271142651,0.00010730570861213952,0.00010730570861218258,8.880313989889885e-05
g6,p15,5,26,2.207895776364892,0.02018018795686578,0.08868868004792682,0.008325795001381323
g6,p16,5,28,2.208464778458544,0.00025771238830338836,0.00025771238830338836,0.00015928279501469764
g6,p17,5,27,2.123673878704698,0.038393593858004844,0.049025170336721935,0.0005530963974877141
g6,p18,5,27,2.1228398516410962,0.0003927284089920939,0.0003927284089921626,0.00016038563876070885
g6,p19,5,27,2.21884438535125,0.016259221921522564,0.04522457670838231,-0.002078308638081815
g7,p02,5,28,1.0,0.0,0.0,0.0
g7,p03,5,26,0.7034529451591063,0.05517941773865953,0.11547538446658283,-0.01662888542331519
g7,p04,5,28,0.7031962785743969,0.0003648667426522704,0.0003648667426524334,-0.001544127326932412
g7,p05,5,27,0.9624201095145395,0.026477392057952784,0.07372730454878748,0.004622380614686133
g7,p06,5,27,0.9624908793791761,7.353323557662162e-05,7.353323557666007e-05,0.001556068582884983
g7,p07,5,27,0.8707313821842833,0.05544197974139834,0.09533544593594433,0.00446473235271475
g7,p08,5,27,0.8703086478708021,0.0004854933704361136,0.0004854933704361391,-0.0011680862166666348
g7,p09,5,27,1.020012275818017,0.025510597331509843,0.06262431418731677,-0.00025836059981004035
g7,p10,5,27,1.0201109621721034,9.675016313623126e-05,9.675016313630433e-05,0.00042945721629210223
g7,p11,5,27,0.9514945459279845,0.06726367894137229,0.06726367894137242,-0.007867596522767657
g7,p12,5,27,0.9526215665565025,0.0011844740816867598,0.0011844740816868028,-0.000680874863335827
g7,p13,5,27,0.9976215569427492,0.047238055452503404,0.0479654041340879,0.0032869203913235443
