date,crop,model,horizon,forecast
2026-03-29,Lettuce,SeasonalNaive,13,3.400138711678617
2026-01-04,Grape,SeasonalNaive,1,6.40117168040522
2026-01-11,Grape,SeasonalNaive,2,6.40117168040522
2026-01-18,Grape,SeasonalNaive,3,5.648092659181075
2026-01-25,Grape,SeasonalNaive,4,6.024632169793148
2026-02-01,Grape,SeasonalNaive,5,6.40117168040522
2026-02-08,Grape,SeasonalNaive,6,6.024632169793148
2026-02-15,Grape,SeasonalNaive,7,6.024632169793148
2026-02-22,Grape,SeasonalNaive,8,6.40117168040522
2026-03-01,Grape,SeasonalNaive,9,6.40117168040522
2026-03-08,Grape,SeasonalNaive,10,6.40117168040522
2026-03-15,Grape,SeasonalNaive,11,6.777711191017292
2026-03-22,Grape,SeasonalNaive,12,6.777711191017292
2026-03-29,Grape,SeasonalNaive,13,6.777711191017292
2026-01-04,Eggplant,SeasonalNaive,1,2.631835448633473
2026-01-11,Eggplant,SeasonalNaive,2,2.631835448633473
2026-01-18,Eggplant,SeasonalNaive,3,2.255858955971549
2026-01-25,Eggplant,SeasonalNaive,4,2.631835448633473
2026-02-01,Eggplant,SeasonalNaive,5,2.631835448633473
2026-02-08,Eggplant,SeasonalNaive,6,2.255858955971549
2026-02-15,Eggplant,SeasonalNaive,7,2.631835448633473
2026-02-22,Eggplant,SeasonalNaive,8,2.631835448633473
2026-03-01,Eggplant,SeasonalNaive,9,2.631835448633473
2026-03-08,Eggplant,SeasonalNaive,10,2.631835448633473
2026-03-15,Eggplant,SeasonalNaive,11,5.639647389928872
2026-03-22,Eggplant,SeasonalNaive,12,2.631835448633473
2026-03-29,Eggplant,SeasonalNaive,13,2.631835448633473
2026-01-04,Zucchini,SeasonalNaive,1,3.0078119412953983
2026-01-11,Zucchini,SeasonalNaive,2,3.0078119412953983
2026-01-18,Zucchini,SeasonalNaive,3,3.0078119412953983
2026-01-25,Zucchini,SeasonalNaive,4,2.631835448633473
2026-02-01,Zucchini,SeasonalNaive,5,2.631835448633473
2026-02-08,Zucchini,SeasonalNaive,6,2.631835448633473
2026-02-15,Zucchini,SeasonalNaive,7,3.0078119412953983
2026-02-22,Zucchini,SeasonalNaive,8,3.0078119412953983
2026-03-01,Zucchini,SeasonalNaive,9,3.0078119412953983
2026-03-08,Zucchini,SeasonalNaive,10,3.0078119412953983
2026-03-15,Zucchini,SeasonalNaive,11,3.0078119412953983
