group,seam,crop,n_overlap,factor,median_abs_rel,p90_abs_rel,mean_signed_rel
g3,p11,strawberry,27,0.9017453236744146,0.00019119516856254173,0.00019119516856262657,-0.0005049776243873475
g3,p11,lime,27,0.9017453236744146,0.00019119516856251333,0.0001911951685625872,0.002363473413009017
g3,p11,cabbage,27,0.9017453236744146,0.0001911951685625309,0.0001911951685625872,-0.0020348181776653675
g3,p11,pineapple,27,0.9017453236744146,0.0001911951685625061,0.0001911951685625872,0.0016690063197446069
g3,p12,cucumber,27,1.1347681617172494,0.05619014710274488,0.10113347343118553,-0.011275969718445533
g3,p12,strawberry,27,1.1347681617172494,0.015154936107212101,0.03762760980076744,-0.007481521992792773
g3,p12,lime,27,1.1347681617172494,0.05619014710274488,0.10113347343118553,-0.0014521641873648774
g3,p12,cabbage,27,1.1347681617172494,0.07843360115810219,0.10111149504679769,0.016614438689843778
g3,p12,pineapple,27,1.1347681617172494,0.01641061081242861,0.040218822462738196,0.007873502117894341
g3,p13,cucumber,27,1.1350934741797976,0.00028667746727750303,0.00028667746727753355,-0.0034600805371375588
g3,p13,strawberry,27,1.1350934741797976,0.00028667746727744964,0.0002866774672775529,-0.0008984730973994819
g3,p13,lime,27,1.1350934741797976,0.0002866774672775149,0.00028667746727753355,-0.0017950357013077525
g3,p13,cabbage,27,1.1350934741797976,0.00028667746727747143,0.00028667746727753355,0.0013836862580035854
g3,p13,pineapple,27,1.1350934741797976,0.0002866774672774575,0.0002866774672775708,0.0017522337315469076
g3,p14,cucumber,27,1.1077931063375976,0.024051206762444627,0.12466479982613526,0.014759001022369425
g3,p14,strawberry,27,1.1077931063375976,0.024051206762444655,0.03144392069616153,0.0005715766486532701
g3,p14,lime,27,1.1077931063375976,0.02405120676244459,0.06057874382320656,-0.005623468630637119
g3,p14,cabbage,27,1.1077931063375976,0.024051206762444655,0.12466479982613526,-0.0008039684171183579
g3,p14,pineapple,27,1.1077931063375976,0.024051206762444627,0.034505720831808764,-0.0010340026407071928
g3,p15,cucumber,26,1.1077931063375979,1.692593427194181e-16,2.4599294426326914e-16,1.7790057342519625e-16
g3,p15,strawberry,26,1.1077931063375979,2.231138532360273e-16,2.565615300168022e-16,2.0610154603245342e-16
g3,p15,lime,26,1.1077931063375979,1.7816772917833484e-16,2.004386953256267e-16,1.7523089847759307e-16
g3,p15,cabbage,26,1.1077931063375979,1.7816772917833484e-16,2.004386953256267e-16,1.8271605159691954e-16
g3,p15,pineapple,26,1.1077931063375979,1.5653307634953703e-16,2.004386953256267e-16,1.6309271652732724e-16
g3,p16,cucumber,28,1.1134235668526555,0.0050825921219822025,0.005082592121982336,0.00508259212198221
g3,p16,strawberry,28,1.1134235668526555,0.0050825921219822025,0.0398652008176344,-0.0018714626049129192
g3,p17,cucumber,27,1.1133474452593919,6.836714753471579e-05,6.836714753487088e-05,0.00011986413541551458
g3,p17,strawberry,27,1.1133474452593919,6.836714753473897e-05,6.836714753484643e-05,0.00011986413541552656
g3,p17,guava,26,1.1133474452593919,6.836714753478226e-05,6.836714753478226e-05,-6.83671475347618e-05
g3,p17,papaya,26,1.1133474452593919,6.83671475346759e-05,6.836714753471579e-05,-6.836714753468714e-05
g3,p17,banana,26,1.1133474452593919,6.836714753470405e-05,6.836714753482514e-05,-6.836714753470103e-05
g3,p18,cucumber,27,0.8178181186549623,0.028381006299604494,0.055568463602404,-0.0035675629710979232
g3,p18,strawberry,27,0.8178181186549623,0.010017059758540212,0.034443021340878795,0.0010533945558528332
g3,p18,guava,27,0.8178181186549623,0.0818026729467816,0.2242631027376246,0.00434607504674878
g3,p18,papaya,27,0.8178181186549623,0.10183679246386203,0.1185305660289104,0.007067527713029626
g3,p18,banana,27,0.8178181186549623,0.004792574548769721,0.014363988063054091,0.0017396759434676178
g3,p19,cucumber,27,0.817634140933788,0.00022496165953988677,0.0002249616595399345,-0.000987364843162286
g3,p19,strawberry,27,0.817634140933788,0.00022496165953987633,0.0002249616595400253,0.00030786022612693594
g3,p19,guava,27,0.817634140933788,0.00022496165953990346,0.00022496165954001207,-0.000987364843162329
g3,p19,papaya,27,0.817634140933788,0.0002249616595399345,0.00022496165953996553,0.0035459228993499586
g3,p19,banana,27,0.817634140933788,0.0002249616595399345,0.00022496165954001207,-0.00016313070816009336
g4,p02,cucumber,27,1.0155038759689923,0.015503875968992276,0.0437209302325583,-0.0007943343860656259
g4,p02,strawberry,27,1.0155038759689923,0.015503875968992276,0.04796511627906974,0.002717206256577969
g4,p02,guava,27,1.0155038759689923,0.015503875968992276,0.015503875968992276,0.015503875968992276
g4,p02,papaya,27,1.0155038759689923,0.015503875968992276,0.015503875968992276,0.0004593741027849822
g4,p02,banana,27,1.0155038759689923,0.016230620155038733,0.021301423239407712,-0.002765885598540977
g4,p03,cucumber,26,1.0155038759689923,0.0,0.0,0.0
g4,p03,strawberry,26,1.0155038759689923,0.0,0.0,0.0
g4,p03,guava,26,1.0155038759689923,0.0,0.0,0.0
g4,p03,papaya,26,1.0155038759689923,0.0,0.0,0.0
g4,p03,banana,26,1.0155038759689923,0.0,0.0,0.0
g4,p04,cucumber,28,1.0171750288093142,0.0016456390565002545,0.0016456390565002962,0.001645639056500248
